long,lat,yield,variety,seeding_rate,seed_spacing
-91.8499910292947,40.3760971808344,88.45115613452421,DKC63-33RIB,37.9842,5.5046
-91.8499915292947,40.3761063988344,102.17351733805,DKC63-33RIB,37.9842,5.5046
-91.84999182129471,40.3761163098344,191.420756250119,DKC63-33RIB,40.9102,5.1109
-91.8499924452947,40.376126811834396,236.55621696597598,DKC63-33RIB,35.0081,5.9726
-91.8499930392947,40.3761388578344,224.822367119597,DKC63-33RIB,38.6252,5.4133
-91.84999302829469,40.376151472834394,232.429547279096,DKC63-33RIB,35.9241,5.8203
-91.8499925322947,40.376164247834396,243.65369756247898,DKC63-33RIB,37.4751,5.5794
-91.84999148629471,40.376177434834396,247.520759261253,DKC63-33RIB,33.7571,6.1939
-91.8499911382947,40.3761906698344,263.673767814023,DKC63-33RIB,36.9321,5.6614
-91.84999098229471,40.3762037548344,265.223575851637,DKC63-33RIB,32.2441,6.4846
-91.84999030529471,40.3762172928344,254.457054229449,P1498,34.4581,6.0679
-91.84998983729471,40.3762309118344,241.09190206834302,DKC63-33RIB,37.1971,5.6211
-91.8499905392947,40.3762445618344,227.14394997993801,DKC63-33RIB,0.0,0.0
-91.84999125429471,40.3762581588344,215.518433672002,DKC63-33RIB,34.6621,6.0322
-91.84999057529471,40.3762715688344,218.58540212701698,DKC63-33RIB,37.2681,5.6104
-91.8499900292947,40.376285083834404,219.559456563988,DKC63-33RIB,34.8281,6.0034
-91.8499899592947,40.3762985958344,237.30068418964,DKC63-33RIB,35.1721,5.9447
-91.8499897692947,40.3763119188344,254.52624225752004,DKC63-33RIB,35.3551,5.914
-91.84998941729471,40.376325255834395,254.327096045751,DKC63-33RIB,35.2981,5.9235
-91.84998896329469,40.3763388138344,256.903005943636,DKC63-33RIB,37.7052,5.5454
-91.8499886532947,40.3763522838344,262.546313502732,DKC63-33RIB,37.3091,5.6042
-91.8499882162947,40.376365646834394,239.893837218605,DKC63-33RIB,36.2511,5.7678
-91.8499880642947,40.3763791148344,232.016630521113,DKC63-33RIB,37.1741,5.6246
-91.8499879612947,40.3763926418344,220.531570355046,DKC63-33RIB,37.0791,5.638999999999999
-91.84998842229471,40.3764058248344,233.748945164105,P1498,34.5191,6.0572
-91.84998846029471,40.3764192038344,243.768016351522,P1498,33.6141,6.2203
-91.84998747629471,40.3764324878344,233.757908147317,DKC63-33RIB,37.5472,5.5687
-91.8499870442947,40.376445772834394,228.32049611905498,DKC63-33RIB,37.1561,5.6273
-91.84998699129471,40.3764591058344,240.202215048788,DKC63-33RIB,37.2471,5.6136
-91.8499867242947,40.3764725388344,223.62726551877103,DKC63-33RIB,38.3582,5.4510000000000005
-91.8499873092947,40.37648586283439,219.113148320645,DKC63-33RIB,36.2731,5.7643
