long,lat,variety,seeding_rate,seed_spacing,speed
-91.850532,40.37604305,P1498,47.6142,4.3913,1.9
-91.8505192,40.37604315,P1498,47.6412,4.3888,2.11
-91.850504,40.37604275,P1498,47.6412,4.3888,2.52
-91.8504868,40.37604255,P1498,47.6412,4.3888,2.94
-91.8504673,40.37604285,P1498,34.6421,6.0357,3.37
-91.8504451,40.37604345,P1498,31.2031,6.7009,3.88
-91.8504218,40.37604345,P1498,29.7171,7.036,4.22
-91.8503989,40.37604365,P1498,29.6801,7.0447,4.26
-91.8503758,40.37604365,P1498,30.4431,6.8682,4.35
-91.8503527,40.37604375,P1498,30.9321,6.7596,4.34
-91.8503296,40.37604365,P1498,31.4721,6.6436,4.34
-91.8503065,40.37604345,P1498,31.7241,6.5908,4.34
-91.8502848,40.37604355,P1498,31.9651,6.5412,4.31
-91.8502699,40.37604305,P1498,32.5181,6.4299,2.67
-91.8502543,40.37604285,P1498,32.5181,6.4299,2.84
-91.8502369,40.37604305,P1498,32.5181,6.4299,2.97
-91.850219,40.37604295,P1498,32.2361,6.4862,3.16
-91.8502012,40.37604295,P1498,32.0601,6.5218,3.29
-91.8501832,40.37604325,P1498,32.0771,6.5183,3.37
-91.8501655,40.37604295,P1498,32.1421,6.5051,3.35
-91.8501476,40.37604305,P1498,32.2591,6.4815,3.37
-91.8501298,40.37604315,P1498,32.3671,6.4599,3.35
-91.8501119,40.37604305,P1498,32.4481,6.4438,3.36
-91.8500942,40.37604325,P1498,34.6851,6.0282,3.35
-91.8500765,40.37604335,P1498,36.5501,5.7206,3.35
-91.8500586,40.37604335,P1498,37.3561,5.5972,3.34
-91.8500408,40.37604335,P1498,37.2281,5.6164,3.35
-91.850023,40.37604355,P1498,37.0171,5.6484,3.34
-91.8500053,40.37604345,P1498,37.0371,5.6454,3.34
-91.8499875,40.37604375,P1498,37.2711,5.6099,3.34
-91.8499698,40.37604395,P1498,37.3591,5.5967,3.34
-91.8499521,40.37604395,P1498,37.2681,5.6104,3.34
-91.8499343,40.37604415,P1498,37.2701,5.6101,3.34
-91.8499166,40.37604375,P1498,37.3301,5.6011,3.34
-91.8498989,40.37604425,P1498,37.3941,5.5915,3.34
-91.8498812,40.37604395,P1498,37.3431,5.5991,3.34
-91.8498633,40.37604405,P1498,37.3051,5.6048,3.35
-91.8498456,40.37604415,P1498,37.3531,5.5976,3.34
-91.849828,40.37604415,P1498,37.3961,5.5912,3.34
-91.8498101,40.37604375,P1498,37.3631,5.5961,3.33
-91.8497924,40.37604385,P1498,37.3731,5.5946,3.34
-91.8497746,40.37604315,P1498,37.3681,5.5954,3.35
-91.8497568,40.37604315,P1498,37.3451,5.5988,3.35
-91.849739,40.37604355,P1498,37.3311,5.6009,3.35
-91.8497211,40.37604265,P1498,37.2871,5.6075,3.35
-91.8497034,40.37604225,P1498,37.2931,5.6066,3.34
-91.8496856,40.37604215,P1498,37.2931,5.6066,3.35
-91.8496677,40.37604215,P1498,37.2961,5.6062,3.35
-91.84965,40.37604185,P1498,37.3021,5.6053,3.35
-91.849632,40.37604185,P1498,37.2901,5.6071,3.36
-91.8496141,40.37604165,P1498,37.3011,5.6054,3.36
-91.8495964,40.37604145,P1498,37.2771,5.609,3.36
-91.8495785,40.37604145,P1498,37.2691,5.6102,3.35
-91.8495606,40.37604145,P1498,37.2841,5.608,3.36
-91.8495428,40.37604135,P1498,37.3081,5.6044,3.36
-91.849525,40.37604125,P1498,37.3071,5.6045,3.36
-91.849507,40.37604085,P1498,37.3121,5.6038,3.36
-91.8494892,40.37604115,P1498,37.2931,5.6066,3.36
-91.8494713,40.37604135,P1498,37.2801,5.6086,3.36
-91.8494535,40.37604075,P1498,37.2431,5.6142,3.36
-91.8494355,40.37604055,P1498,37.2601,5.6116,3.37
-91.8494164,40.37604065,P1498,37.2401,5.6146,3.42
-91.8493975,40.37604055,P1498,37.1121,5.634,3.49
-91.8493786,40.37604085,P1498,37.0541,5.6428,3.56
-91.8493587,40.37604095,P1498,36.4821,5.7313,3.61
-91.8493387,40.37604105,P1498,36.8241,5.678,3.68
-91.8493187,40.37604115,P1498,36.5281,5.724,3.74
-91.8492986,40.37604105,P1498,36.4621,5.7344,3.77
-91.8492787,40.37604085,P1498,37.0661,5.641,3.76
-91.8492587,40.37604035,P1498,37.4461,5.5837,3.77
-91.8492387,40.37604055,P1498,37.7092,5.5448,3.76
-91.8492186,40.37604035,P1498,37.7402,5.5402,3.77
-91.8491987,40.37604005,P1498,37.8932,5.5179,3.76
-91.8491786,40.37604005,P1498,37.9332,5.512,3.76
-91.8491585,40.37603995,P1498,37.9692,5.5068,3.76
-91.8491386,40.37603975,P1498,37.9252,5.5132,3.77
-91.8491186,40.37603915,P1498,37.9582,5.5084,3.77
-91.8490986,40.37603905,P1498,38.0122,5.5006,3.76
-91.8490786,40.37603915,P1498,38.0682,5.4925,3.77
-91.8490585,40.37603915,P1498,38.0872,5.4897,3.76
-91.8490385,40.37603915,P1498,38.1042,5.4873,3.77
-91.8490185,40.37603895,P1498,38.0952,5.4886,3.76
-91.8489983,40.37603865,P1498,38.0662,5.4928,3.78
-91.8489784,40.37603845,P1498,38.0342,5.4974,3.77
-91.8489585,40.37603835,P1498,38.0842,5.4902,3.76
-91.8489384,40.37603815,P1498,38.0982,5.4882,3.76
-91.8489184,40.37603805,P1498,38.1242,5.4844,3.76
-91.8488985,40.37603785,P1498,38.1502,5.4807,3.76
-91.8488784,40.37603795,P1498,38.1482,5.481,3.76
-91.8488583,40.37603755,P1498,38.1202,5.485,3.77
-91.8488382,40.37603745,P1498,38.1332,5.4831,3.77
-91.8488184,40.37603755,P1498,37.9132,5.5149,3.77
-91.8487982,40.37603765,P1498,37.7602,5.5373,3.77
-91.8487783,40.37603725,P1498,37.7542,5.5382,3.76
-91.8487583,40.37603685,P1498,37.3341,5.6005,3.77
-91.8487382,40.37603675,P1498,37.3321,5.6008,3.77
-91.8487181,40.37603645,P1498,37.2361,5.6152,3.77
-91.8486981,40.37603665,P1498,37.2311,5.616,3.77
-91.8486782,40.37603635,P1498,37.3061,5.6047,3.76
-91.8486582,40.37603595,P1498,37.4501,5.5831,3.76
-91.8486383,40.37603595,P1498,37.3361,5.6002,3.75
-91.8486184,40.37603585,P1498,37.3841,5.593,3.76
-91.8485982,40.37603585,P1498,37.3581,5.5969,3.77
-91.8485784,40.37603595,P1498,37.3001,5.6056,3.76
-91.8485583,40.37603575,P1498,37.3481,5.5984,3.76
-91.8485385,40.37603565,P1498,37.3951,5.5913,3.74
-91.8485185,40.37603565,P1498,37.3721,5.5948,3.76
-91.8484985,40.37603585,P1498,37.3501,5.5981,3.76
-91.8484786,40.37603575,P1498,37.3401,5.5996,3.75
-91.8484586,40.37603595,P1498,37.3651,5.5958,3.76
-91.8484386,40.37603595,P1498,37.3601,5.5966,3.75
-91.8484185,40.37603635,P1498,37.3631,5.5961,3.76
-91.8483987,40.37603645,P1498,37.3571,5.597,3.75
-91.8483787,40.37603665,P1498,37.3701,5.5951,3.76
-91.8483587,40.37603665,P1498,37.3951,5.5913,3.76
-91.8483388,40.37603695,P1498,37.3721,5.5948,3.75
-91.8483189,40.37603715,P1498,37.3691,5.5952,3.75
-91.8482988,40.37603725,P1498,37.3931,5.5916,3.75
-91.848279,40.37603695,P1498,37.3971,5.591,3.75
-91.8482589,40.37603625,P1498,37.4131,5.5886,3.76
-91.8482391,40.37603635,P1498,37.4131,5.5886,3.75
-91.8482191,40.37603605,P1498,37.4281,5.5864,3.75
-91.8481993,40.37603595,P1498,37.4471,5.5836,3.74
-91.8481794,40.37603555,P1498,37.4631,5.5812,3.75
-91.8481594,40.37603515,P1498,37.4321,5.5858,3.75
-91.8481394,40.37603455,P1498,37.3881,5.5924,3.76
-91.8481195,40.37603425,P1498,37.4051,5.5898,3.75
-91.8480995,40.37603415,P1498,37.3621,5.5963,3.76
-91.8480795,40.37603355,P1498,38.0182,5.4997,3.75
-91.8480597,40.37603325,P1498,38.1242,5.4844,3.75
-91.8480397,40.37603295,P1498,38.1672,5.4782,3.75
-91.8480197,40.37603295,P1498,38.3932,5.446,3.76
-91.8479997,40.37603295,P1498,38.2022,5.4732,3.76
-91.8479796,40.37603305,P1498,38.2302,5.4692,3.77
-91.8479597,40.37603265,P1498,38.2522,5.4661,3.75
-91.8479397,40.37603245,P1498,38.2742,5.4629,3.76
-91.8479197,40.37603255,P1498,38.3372,5.4539,3.76
-91.8478998,40.37603235,P1498,38.3162,5.4569,3.76
-91.8478799,40.37603225,P1498,38.3562,5.4512,3.76
-91.8478598,40.37603165,P1498,38.2502,5.4664,3.76
-91.8478397,40.37603155,P1498,38.2372,5.4682,3.77
-91.8478198,40.37603145,P1498,38.2222,5.4704,3.76
-91.8477998,40.37603115,P1498,38.2662,5.4641,3.76
-91.8477797,40.37603095,P1498,38.2732,5.4631,3.76
-91.8477598,40.37603045,P1498,38.2682,5.4638,3.76
-91.8477398,40.37602985,P1498,38.2282,5.4695,3.76
-91.8477197,40.37602945,P1498,38.2472,5.4668,3.77
-91.8476998,40.37602905,P1498,38.2182,5.4709,3.77
-91.8476798,40.37602855,P1498,38.2562,5.4655,3.76
-91.8476599,40.37602835,P1498,38.2732,5.4631,3.75
-91.8476398,40.37602815,P1498,38.2312,5.4691,3.76
-91.8476199,40.37602775,P1498,38.2702,5.4635,3.77
-91.8476,40.37602745,P1498,38.2632,5.4645,3.75
-91.8475798,40.37602745,P1498,38.2882,5.4609,3.76
-91.8475599,40.37602755,P1498,38.2752,5.4628,3.76
-91.84754,40.37602745,P1498,38.2842,5.4615,3.76
-91.84752,40.37602715,P1498,38.2412,5.4676,3.75
-91.8474999,40.37602755,P1498,38.3082,5.4581,3.76
-91.8474799,40.37602775,P1498,38.2932,5.4602,3.77
-91.84746,40.37602805,P1498,38.2892,5.4608,3.76
-91.8474399,40.37602825,P1498,38.2682,5.4638,3.76
-91.8474201,40.37602935,P1498,38.2602,5.4649,3.76
-91.8474002,40.37603035,P1498,38.2942,5.4601,3.76
-91.8473803,40.37603145,P1498,38.2552,5.4656,3.75
-91.8473603,40.37603295,P1498,38.3322,5.4547,3.76
-91.8473406,40.37603475,P1498,38.3372,5.4539,3.75
-91.8473208,40.37603565,P1498,38.3362,5.4541,3.75
-91.8473008,40.37603695,P1498,38.3232,5.4559,3.75
-91.847281,40.37603825,P1498,38.3252,5.4557,3.75
-91.8472611,40.37603935,P1498,38.3232,5.4559,3.75
-91.8472411,40.37604065,P1498,38.3452,5.4528,3.75
-91.8472212,40.37604185,P1498,38.3522,5.4518,3.76
-91.8472014,40.37604305,P1498,38.3892,5.4466,3.76
-91.8471815,40.37604415,P1498,38.3922,5.4461,3.76
-91.8471616,40.37604515,P1498,38.4002,5.445,3.76
-91.8471416,40.37604605,P1498,38.4322,5.4405,3.76
-91.8471218,40.37604685,P1498,38.3722,5.449,3.75
-91.8471017,40.37604795,P1498,38.3912,5.4463,3.76
-91.8470818,40.37604875,P1498,38.3522,5.4518,3.76
-91.847062,40.37604955,P1498,38.1542,5.4801,3.75
-91.8470422,40.37605055,P1498,38.5022,5.4306,3.75
-91.8470222,40.37605145,P1498,38.6812,5.4054,3.75
-91.8470022,40.37605205,P1498,38.0222,5.4991,3.76
-91.8469821,40.37605315,P1498,37.6102,5.5594,3.76
-91.8469625,40.37605565,P1498,37.4251,5.5869,3.76
-91.846943,40.37605875,P1498,37.3741,5.5945,3.77
-91.8469235,40.37606085,P1498,37.5182,5.573,3.77
-91.846904,40.37606375,P1498,37.0151,5.6487,3.78
-91.8468848,40.37606735,P1498,36.9531,5.6582,3.78
-91.8468657,40.37607175,P1498,37.1341,5.6306,3.78
-91.8468462,40.37607615,P1498,37.2911,5.6069,3.78
-91.8468274,40.37608175,P1498,37.3221,5.6023,3.79
-91.8468095,40.37608835,P1498,37.2761,5.6092,3.79
-91.8467916,40.37609495,P1498,37.2481,5.6134,3.78
-91.8467739,40.37610215,P1498,37.2331,5.6157,3.78
-91.8467571,40.37610885,P1498,37.2211,5.6175,3.76
-91.8467447,40.37611335,P1498,37.4551,5.5824,2.59
-91.8467378,40.37611625,P1498,37.4551,5.5824,1.59
-91.846737,40.37611655,P1498,37.4551,5.5824,0.08
-91.8464159,40.37594835,P1498,40.6362,5.1454,2.42
-91.8464146,40.37595945,P1498,40.6362,5.1454,2.54
-91.8464133,40.37597105,P1498,35.2381,5.9336,2.68
-91.8464133,40.37598355,P1498,33.4061,6.259,2.87
-91.846413,40.37599595,P1498,32.2331,6.4868,3.03
-91.8464122,40.37600825,P1498,32.3931,6.4547,3.08
-91.8464118,40.37602085,P1498,32.7081,6.3926,3.11
-91.8464113,40.37603325,P1498,32.7261,6.389,3.09
-91.8464118,40.37604575,P1498,32.8871,6.3578,3.1
-91.8464116,40.37605865,P1498,33.0241,6.3314,3.13
-91.8464115,40.37607185,P1498,32.9051,6.3543,3.2
-91.8464116,40.37608565,P1498,32.9081,6.3537,3.29
-91.8464113,40.37609915,P1498,32.8131,6.3721,3.36
-91.8464116,40.37611315,P1498,32.8021,6.3742,3.41
-91.8464108,40.37612705,P1498,32.8431,6.3663,3.44
-91.8464103,40.37614095,P1498,32.8911,6.357,3.46
-91.84641,40.37615505,P1498,32.9571,6.3443,3.49
-91.8464103,40.37616885,P1498,33.0321,6.3299,3.46
-91.8464093,40.37618275,P1498,33.1221,6.3127,3.47
-91.8464099,40.37619685,P1498,33.1921,6.2993,3.46
-91.8464094,40.37621185,P1498,33.2391,6.2904,3.56
-91.8464094,40.37622635,P1498,33.1561,6.3062,3.6
-91.8464095,40.37624105,P1498,33.1661,6.3043,3.67
-91.8464088,40.37625585,P1498,33.1901,6.2997,3.66
-91.8464084,40.37627065,P1498,33.2601,6.2865,3.67
-91.8464084,40.37628565,P1498,33.2981,6.2793,3.7
-91.8464084,40.37630065,P1498,33.3051,6.278,3.71
-91.8464082,40.37631565,P1498,33.3491,6.2697,3.73
-91.8464074,40.37633045,P1498,33.3871,6.2626,3.72
-91.8464072,40.37634545,P1498,33.4001,6.2601,3.72
-91.8464076,40.37636045,P1498,33.4531,6.2502,3.72
-91.8464069,40.37637535,P1498,33.4931,6.2427,3.73
-91.8464068,40.37639025,P1498,33.4611,6.2487,3.72
-91.8464065,40.37640515,P1498,33.4451,6.2517,3.71
-91.8464063,40.37641995,P1498,33.6141,6.2203,3.7
-91.846406,40.37643485,P1498,33.7831,6.1891,3.7
-91.8464055,40.37644975,P1498,33.7951,6.187,3.7
-91.8464053,40.37646475,P1498,33.8291,6.1807,3.72
-91.8464053,40.37647965,P1498,33.8771,6.172,3.72
-91.8464049,40.37649445,P1498,33.9351,6.1614,3.71
-91.8464044,40.37650945,P1498,34.0041,6.1489,3.71
-91.8464045,40.37652455,P1498,34.0831,6.1347,3.72
-91.8464043,40.37653935,P1498,34.1131,6.1293,3.73
-91.8464048,40.37655415,P1498,34.1721,6.1187,3.71
-91.8464036,40.37656915,P1498,34.2231,6.1096,3.72
-91.8464038,40.37658405,P1498,34.1931,6.1149,3.71
-91.8464037,40.37659895,P1498,34.2251,6.1092,3.71
-91.8464034,40.37661385,P1498,34.2301,6.1083,3.71
-91.8464033,40.37662875,P1498,34.2461,6.1055,3.71
-91.846403,40.37664355,P1498,34.3501,6.087,3.71
-91.846403,40.37665845,P1498,34.3791,6.0819,3.7
-91.8464025,40.37667335,P1498,34.4151,6.0755,3.7
-91.846402,40.37668825,P1498,34.4031,6.0776,3.71
-91.8464012,40.37670305,P1498,34.4411,6.0709,3.7
-91.8464011,40.37671795,P1498,34.4661,6.0665,3.71
-91.8464009,40.37673285,P1498,34.4511,6.0691,3.71
-91.846401,40.37674785,P1498,34.4641,6.0669,3.72
-91.8464014,40.37676275,P1498,34.4851,6.0632,3.72
-91.8464013,40.37677775,P1498,34.4491,6.0695,3.72
-91.8464009,40.37679265,P1498,34.4421,6.0707,3.73
-91.8464005,40.37680765,P1498,34.4661,6.0665,3.72
-91.8464002,40.37682255,P1498,34.4701,6.0658,3.71
-91.8463999,40.37683755,P1498,34.4311,6.0727,3.72
-91.8463997,40.37685235,P1498,34.4351,6.072,3.72
-91.8463995,40.37686725,P1498,34.4121,6.076,3.72
-91.8463994,40.37688215,P1498,34.4411,6.0709,3.71
-91.846399,40.37689715,P1498,34.4361,6.0718,3.72
-91.8463983,40.37691215,P1498,34.4071,6.0769,3.72
-91.8463987,40.37692715,P1498,34.3911,6.0797,3.73
-91.8463986,40.37694195,P1498,34.3861,6.0806,3.72
-91.8463983,40.37695695,P1498,34.4121,6.076,3.72
-91.8463979,40.37697185,P1498,34.4031,6.0776,3.72
-91.8463974,40.37698685,P1498,34.3601,6.0852,3.72
-91.8463972,40.37700185,P1498,34.4001,6.0781,3.73
-91.8463976,40.37701675,P1498,34.3811,6.0815,3.72
-91.8463969,40.37703175,P1498,34.3581,6.0856,3.72
-91.8463968,40.37704655,P1498,34.3251,6.0914,3.71
-91.8463965,40.37706155,P1498,34.3341,6.0898,3.72
-91.8463971,40.37707665,P1498,34.3511,6.0868,3.73
-91.8463964,40.37709155,P1498,34.3321,6.0902,3.73
